,Unnamed: 0,wellName,MD,SW,PredictedSw,VSH,PredictedVSH,PHIF,PredictedPHIF
0,13971,15/9-F-11 B,3356.7,1.0,1.0399652,0.786,0.7804649,0.057,0.056473866
1,13972,15/9-F-11 B,3356.8,1.0,1.0313718,0.777,0.7716156,0.057,0.057756275
2,13973,15/9-F-11 B,3356.9,1.0,1.0170367,0.764,0.75732493,0.056,0.060515
3,13984,15/9-F-11 B,3358.0,1.0,1.0129955,0.763,0.7572504,0.06,0.06406285
4,13985,15/9-F-11 B,3358.1,1.0,1.0122533,0.763,0.7571157,0.061,0.064540446
5,13986,15/9-F-11 B,3358.2,1.0,1.0035532,0.757,0.75138617,0.062,0.06593636
6,13987,15/9-F-11 B,3358.3,1.0,1.0034056,0.76,0.7539466,0.062,0.066454664
7,13988,15/9-F-11 B,3358.4,1.0,1.0056957,0.761,0.7555197,0.061,0.06588769
8,13989,15/9-F-11 B,3358.5,1.0,1.0168918,0.771,0.7658202,0.059,0.06352739
9,13990,15/9-F-11 B,3358.6,1.0,1.0160364,0.767,0.7612634,0.061,0.06385574
10,13991,15/9-F-11 B,3358.7,1.0,1.0081592,0.755,0.7488357,0.065,0.06488955
11,13992,15/9-F-11 B,3358.8,1.0,0.99848366,0.741,0.73361844,0.066,0.06632957
12,13997,15/9-F-11 B,3359.3,1.0,1.0095005,0.75,0.74311715,0.063,0.06448662
13,13998,15/9-F-11 B,3359.4,1.0,1.0028821,0.745,0.7378293,0.061,0.065435976
14,13999,15/9-F-11 B,3359.5,1.0,1.0080495,0.751,0.74441713,0.059,0.06518458
15,14000,15/9-F-11 B,3359.6,1.0,0.997594,0.74,0.7328013,0.059,0.06770301
16,14001,15/9-F-11 B,3359.7,1.0,0.98291814,0.725,0.71646786,0.06,0.0701884
17,14002,15/9-F-11 B,3359.8,1.0,0.97475076,0.711,0.702029,0.06,0.0718054
18,14003,15/9-F-11 B,3359.9,1.0,0.97625434,0.713,0.7045597,0.061,0.071601555
19,14004,15/9-F-11 B,3360.0,1.0,0.9781383,0.711,0.7025822,0.061,0.07178256
20,14007,15/9-F-11 B,3360.3,1.0,1.0288978,0.77,0.7632166,0.053,0.06371558
21,14008,15/9-F-11 B,3360.4,1.0,1.0184828,0.757,0.75473523,0.05,0.06630306
22,14009,15/9-F-11 B,3360.5,1.0,0.9996604,0.745,0.73746914,0.047,0.07013644
23,14010,15/9-F-11 B,3360.6,1.0,1.0036169,0.752,0.7455574,0.045,0.07070619
24,14014,15/9-F-11 B,3361.0,1.0,0.9833605,0.746,0.74012077,0.056,0.07473391
25,14015,15/9-F-11 B,3361.1,1.0,0.99332166,0.754,0.7477093,0.056,0.072795644
26,14016,15/9-F-11 B,3361.2,1.0,0.99064326,0.747,0.7409414,0.055,0.07302348
27,14017,15/9-F-11 B,3361.3,1.0,0.9958283,0.75,0.7432631,0.055,0.0718939
28,14018,15/9-F-11 B,3361.4,1.0,0.99507666,0.752,0.7459021,0.056,0.07180035
29,14019,15/9-F-11 B,3361.5,1.0,0.9974035,0.757,0.7508116,0.057,0.070660114
30,14020,15/9-F-11 B,3361.6,1.0,1.0083308,0.767,0.7617224,0.058,0.06819619
31,14021,15/9-F-11 B,3361.7,1.0,0.99421704,0.753,0.74743104,0.061,0.07034661
32,14022,15/9-F-11 B,3361.8,1.0,1.0083773,0.769,0.7635729,0.063,0.068146124
33,14023,15/9-F-11 B,3361.9,1.0,1.0110695,0.77,0.76456904,0.063,0.06745081
34,14024,15/9-F-11 B,3362.0,1.0,1.0247538,0.779,0.7741713,0.062,0.065161765
35,14025,15/9-F-11 B,3362.1,1.0,1.0304658,0.787,0.78213227,0.061,0.06340803
36,14026,15/9-F-11 B,3362.2,1.0,1.0442413,0.799,0.7948751,0.058,0.060405612
37,14027,15/9-F-11 B,3362.3,1.0,1.0406859,0.796,0.79156756,0.056,0.0605554
38,14030,15/9-F-11 B,3362.6,1.0,1.076009,0.839,0.8361007,0.058,0.0554339
39,14031,15/9-F-11 B,3362.7,1.0,1.0579883,0.823,0.81995785,0.06,0.05993384
40,14038,15/9-F-11 B,3363.4,1.0,1.0162511,0.792,0.7882071,0.072,0.06436044
41,14045,15/9-F-11 B,3364.1,1.0,0.9712813,0.742,0.7362693,0.069,0.0727649
42,14046,15/9-F-11 B,3364.2,1.0,0.9557533,0.731,0.7257296,0.069,0.075460315
43,14047,15/9-F-11 B,3364.3,1.0,0.96131706,0.743,0.7376446,0.071,0.074999034
44,14048,15/9-F-11 B,3364.4,1.0,0.94541013,0.727,0.7214445,0.074,0.077910155
45,14049,15/9-F-11 B,3364.5,1.0,0.9634688,0.745,0.7402625,0.073,0.07409683
46,14050,15/9-F-11 B,3364.6,1.0,0.966225,0.743,0.7381494,0.07,0.07385039
47,14052,15/9-F-11 B,3364.8,1.0,0.98963976,0.764,0.759738,0.066,0.06908344
48,14053,15/9-F-11 B,3364.9,1.0,0.9869349,0.759,0.7537877,0.068,0.0696035
49,14056,15/9-F-11 B,3365.2,1.0,0.9716244,0.739,0.7331556,0.069,0.069966465
50,14057,15/9-F-11 B,3365.3,1.0,0.97072613,0.735,0.7285526,0.067,0.07032958
51,14058,15/9-F-11 B,3365.4,1.0,0.9709252,0.732,0.7259664,0.066,0.07025632
52,14059,15/9-F-11 B,3365.5,1.0,0.98125553,0.739,0.7330181,0.065,0.06882447
53,14061,15/9-F-11 B,3365.7,1.0,1.0486038,0.809,0.8055102,0.063,0.057322294
54,14080,15/9-F-11 B,3367.6,1.0,0.9705845,0.71,0.70113903,0.067,0.06469567
55,14081,15/9-F-11 B,3367.7,1.0,0.989434,0.721,0.71246123,0.061,0.060112357
56,14082,15/9-F-11 B,3367.8,1.0,0.98425364,0.702,0.6919786,0.053,0.059413195
57,14083,15/9-F-11 B,3367.9,1.0,0.9818051,0.692,0.6808626,0.045,0.058024943
58,14084,15/9-F-11 B,3368.0,1.0,1.0116595,0.733,0.724394,0.04,0.052590072
59,14085,15/9-F-11 B,3368.1,1.0,1.0253786,0.75,0.7417397,0.036,0.052235007
60,14086,15/9-F-11 B,3368.2,1.0,1.0121131,0.734,0.72475713,0.034,0.05613622
61,14087,15/9-F-11 B,3368.3,1.0,0.99214447,0.711,0.7011314,0.035,0.0604873
62,14088,15/9-F-11 B,3368.4,1.0,0.97587895,0.697,0.6862875,0.039,0.063584924
63,14089,15/9-F-11 B,3368.5,1.0,0.9693558,0.699,0.688944,0.047,0.06549686
64,14090,15/9-F-11 B,3368.6,1.0,0.9571066,0.697,0.68789446,0.055,0.068274245
65,14091,15/9-F-11 B,3368.7,1.0,0.9486456,0.697,0.68891686,0.06,0.07090795
66,14092,15/9-F-11 B,3368.8,1.0,0.93955994,0.694,0.6861783,0.061,0.07304917
67,14093,15/9-F-11 B,3368.9,1.0,0.96174526,0.725,0.7177673,0.06,0.070099086
68,14094,15/9-F-11 B,3369.0,1.0,0.9585911,0.723,0.71628064,0.059,0.07127972
69,14095,15/9-F-11 B,3369.1,1.0,0.9367695,0.698,0.6902639,0.061,0.07552706
70,14096,15/9-F-11 B,3369.2,1.0,0.94206977,0.71,0.7026151,0.065,0.074581385
71,14097,15/9-F-11 B,3369.3,1.0,0.9420452,0.711,0.70391214,0.07,0.074951574
72,14098,15/9-F-11 B,3369.4,1.0,0.9502727,0.722,0.7159426,0.072,0.07332344
73,14099,15/9-F-11 B,3369.5,1.0,0.9730356,0.746,0.7408387,0.072,0.06966698
74,14100,15/9-F-11 B,3369.6,1.0,0.97722447,0.745,0.7391948,0.069,0.06777626
75,14101,15/9-F-11 B,3369.7,1.0,1.0032724,0.764,0.7588221,0.067,0.06205462
76,14102,15/9-F-11 B,3369.8,1.0,1.0340121,0.795,0.7906348,0.064,0.05610636
77,14103,15/9-F-11 B,3369.9,1.0,1.0335478,0.792,0.78722405,0.061,0.054969013
78,14104,15/9-F-11 B,3370.0,1.0,1.015199,0.772,0.76645374,0.059,0.05748023
79,14105,15/9-F-11 B,3370.1,1.0,1.0175188,0.774,0.76850736,0.058,0.056277975
80,14106,15/9-F-11 B,3370.2,1.0,0.99398184,0.751,0.74434316,0.058,0.059545115
81,14107,15/9-F-11 B,3370.3,1.0,0.9886929,0.741,0.7341232,0.058,0.059633598
82,14108,15/9-F-11 B,3370.4,1.0,0.9778476,0.73,0.72292596,0.057,0.060764566
83,14109,15/9-F-11 B,3370.5,1.0,0.96194196,0.71,0.70172524,0.056,0.06281768
84,14110,15/9-F-11 B,3370.6,1.0,0.93828464,0.683,0.67388093,0.056,0.06610966
85,14111,15/9-F-11 B,3370.7,1.0,0.92424464,0.665,0.6545873,0.056,0.06844528
86,14112,15/9-F-11 B,3370.8,1.0,0.94904196,0.698,0.6893226,0.056,0.06402801
87,14113,15/9-F-11 B,3370.9,1.0,0.9572239,0.705,0.69683707,0.055,0.06299704
88,14114,15/9-F-11 B,3371.0,1.0,0.9633521,0.708,0.6998166,0.054,0.0629648
89,14115,15/9-F-11 B,3371.1,1.0,0.9583193,0.697,0.68787867,0.053,0.064006835
90,14116,15/9-F-11 B,3371.2,1.0,0.9621216,0.701,0.69146943,0.052,0.063602075
91,14117,15/9-F-11 B,3371.3,1.0,0.973382,0.714,0.70576376,0.052,0.06296715
92,14118,15/9-F-11 B,3371.4,1.0,0.9637308,0.708,0.69929254,0.052,0.06482871
93,14119,15/9-F-11 B,3371.5,1.0,0.97008276,0.72,0.7117691,0.052,0.06476982
94,14120,15/9-F-11 B,3371.6,1.0,0.96816516,0.72,0.71215177,0.051,0.06547469
95,14121,15/9-F-11 B,3371.7,1.0,0.969216,0.719,0.711222,0.051,0.0649541
96,14122,15/9-F-11 B,3371.8,1.0,0.998651,0.748,0.7417203,0.049,0.060242087
97,14123,15/9-F-11 B,3371.9,1.0,1.010986,0.753,0.74629027,0.048,0.05930096
98,14124,15/9-F-11 B,3372.0,1.0,0.9836581,0.718,0.70942795,0.047,0.06132987
99,14125,15/9-F-11 B,3372.1,1.0,0.9492518,0.674,0.6624192,0.046,0.066993445
100,14126,15/9-F-11 B,3372.2,1.0,0.94210637,0.666,0.65474975,0.046,0.068789124
101,14127,15/9-F-11 B,3372.3,1.0,0.94522,0.671,0.65962803,0.047,0.06804654
102,14128,15/9-F-11 B,3372.4,1.0,0.9425584,0.667,0.6557003,0.049,0.06877056
103,14129,15/9-F-11 B,3372.5,1.0,0.9300667,0.639,0.6255007,0.05,0.0708023
